Puzzle	Elapsed Minutes	Estimated Minutes	Difficulty	Improper
5..36.7...67..9.......8..2...9..38....2..564.758.2...........64..3.....99.......8	5.50	3.65	0	0
....9.53.....6.1.....3.74......5..8697.4.......1......42......53..6....9.8.9...2.	28.53	21.99	1	0
78...9.64..........25....13...8.....4...3...7...1.7...95....27..........34.6.2.89	7.09	4.51	0	0
.......8..8.1..6..3.2...7.9..49.2...21..3.......6...931...4..7....3..5..8.3......	6.03	6.77	0	0
...4.69....3.9..7..6.21....8....46...4.......6..5..8..9..1...........7.3.......52	15.88	5.20	1	0
..82..9..39......7..7.1.6...7.5.1..2..4...7...8.4.3.6.....5......6.9.2..5.......4	13.68	11.74	1	0
34....1...8....2...5..38...4..652...6...8......5.1..49...9..42...........13..7.9.	6.07	5.11	0	0
.2....867...26.........1....5.7.42...1.....3.7.89..4.6...5.3..45......9.9....83..	20.71	5.99	0	0
5.3..21..............5.6.....52.49..2..7.9..87.......11...5...69.7..3..4.5.....7.	15.71	8.53	1	1
..15....88..2375..........4.6.....4.38.6...1.754.....2.....5....1...6....3.79....	11.41	4.53	0	0
.5...3.6.2..6.4..86....9.219.......774.1.6.3..........8.4...6.5..1.4.9...........	4.29	4.93	0	0
.6..........8...46....49..8.9...8..1..4.1.8..7..3...5.6..7.....25...1.....7....2.	5.12	6.03	0	0
.69..3.7.1.32.5......8....972....68...........85....9131...7......4........6..7..	7.24	6.44	0	0
..6.7.3....815.........9...18....6..76..2....2......455....492....6....4........7	7.20	5.60	0	0
..81.52..4..8....5..7...9..36......9..5..3......2.7...6.......8..........4.9.135.	10.27	6.32	0	0
.....1.9...4.5..2..3......4....4.5...1.8.9.6.2...7...8...2.....52..3...6..9..4.3.	8.33	5.20	0	0
..2..61..7...........8392...89...65.6.......1............9824..5.......9..76.4...	6.02	4.13	0	0
...........47.26....7...18.6.......51.....8.224.....9.....91...93.2.5.71...6.7...	5.84	5.16	0	0
....419..657.............7........6.34.9.......9.3...85...8...3.....4...8..3.97..	16.01	16.89	1	1
..19.547.....1.2..3..8.....2.7.4..6..6.3.8...8.....3...9...7..11..6...2.......5..	23.15	18.35	1	0
..19.547.....1.2..3..8.....2.7.4..6..6.3.8...8.....3...9...7..11..6...2.......5..	10.36	18.35	1	0
.7.2......1.9...47..5..........5..76...6..5...8..9........3.6..7....8.1..3...1.2.	6.41	5.90	0	0
..31.......4.........7...18....9.7.5.....2...1.6.4....32...5.6.6.7...3.......95..	5.93	3.94	0	0
.9......34...935..8.7.6........4....3..6...97.....2.6......8.1...12..4...2....7.9	20.41	15.53	1	0
57.4.6.2.1.......8...1.....7......95.8.3.....26.....4......2...3.......682.9...13	6.12	6.12	0	0
....2..76..8......7..65.2...947.21.....4.8.....3......245..........4......7...3.1	5.84	5.41	0	0
.4.......6.3..9....9.4...12..1.4..2....8...4..3....1.7.2...7.....923...6..6..8.7.	14.92	6.07	0	0
...5...8.9........5.78.3.....3...719..........926.83.....4.28.1........7.85..7...	6.14	6.52	1	0
7...2.4....6..45..18...5........294..........8471........7...299.14..7....5.1....	4.02	5.19	0	0
2..3...7...3.9....1...7.5...8...19...1.....2...25...8...7.3........1.2...4..69..8	6.66	6.00	1	0
..2.3..8...84..9..4......3559.1...................5.4367...1..2..4..86...1..6....	5.96	5.69	0	1
.6....4.91..........352......46..7...82...56.....832......6.1..........42.5...8..	4.16	5.71	0	0
...7..5....58.1....2...4..331..9.2.....1.5..6.96.7...11..2....7........8..8.1392.	9.96	5.71	1	0
2....6..7..4....9...3.58.2..6.53...8.........4....1.6..2.81...5.7....2..1..6....9	9.74	12.13	1	0
....2.....28....9.5..8.6..1....9.......6.3.1..75..196.2.....3....13.58...3.....4.	10.65	10.68	1	0
6.......41..7...83...5.4......3.1.4...8...5...1.8.5.3....4.3...76....3.99........	4.45	5.19	0	0
.15.....49..........6..3.7...284...5..13.6...6....1....386..2..........97.....64.	8.08	7.27	1	0
........4.591....78..6...599153.8...7.8..4....2.....6.3....1.4...1.5........3.9.6	7.84	6.71	1	1
..5.1..6..38....2.1...6.....2...9..47...56......8...5..17.2...8...5...96......1..	4.08	5.58	0	0
....92.4...7..1.2..8...3.......4.1..6..5.....374..8......9...8581....97.......2.4	26.32	4.03	0	0
.728.931..9.5...8....2.19....9...7.....9......56...83....1.42..3...7...1.........	10.07	6.65	1	0
..7.39....4..26.3.2.......492..1....35...7..8....5..127.......6.9..6..4...48..5..	19.49	12.17	1	0
2.6..4.8....6.3..1.1...........3.....8.5.2..77.......9.597..16.3.19..7....7......	6.51	6.05	0	0
...8.1...3.........17...5...........7.5...2.42......91..32184...2.4.3.7......9.6.	5.73	6.20	0	0
.174.8...3....5..4.4.3.........172..........8..9.8.6....5....36..8..91..4....1.7.	5.46	4.96	0	0
.1.....8.4.....9..7....2..3...3.9...94..1..7....6.5...6..9.3...3.7...2.6.......5.	9.09	4.98	0	0
....9156..1...32..45...8...184..............7......421.......9.3......42.4983..7.	5.61	6.09	0	0
.....483...7...2...2..67.......4...5..48.59..7.9.....147..5...31...........9.27..	4.60	5.42	0	0
5.3.4.6..........3..2...49....2...1..9..7.....8...59.....4.....7.59...429...6.37.	7.10	5.55	0	0
...1.75......3.4..7..9.....5.....9.2.3.....6.9..4..1.5...3.2.9...6.9......85.4...	6.47	4.44	0	0
.9.......4.61......8.5....9357..8.........23....4..8.75....9.8.....2.4....4..6..5	15.56	12.60	1	0
.5.....1...91...3.1.....2...78..26...2...7..44...5...23..5...6.86..9.7.3...7.....	13.57	7.62	1	0
.913.2.......76...8.....4.....5.8.6...2.1.3..1...64.....9......6.....1......4.68.	6.92	5.95	1	1
...9......164.3..9......26.8...36....5.....3....58...7.61........48..62.....79...	5.99	4.31	0	0
..73.2..6.65...34......6....39...4............84...95....9......51...6..2.34..8.7	5.91	5.44	0	0
4..7.58.6...2.......7..64...2.....3.1.......8.5.....2....9.76.....8.1...7..6.41..	4.16	6.03	0	0
3.........1.3.82.......635...3..2.9...47.....6....9..1.71......5...8..6.....4...9	50.00	34.96	1	0
.8.2735..2.............1..64..8..2..7...5....6.21.9...3..4....1.......42......75.	7.31	4.19	0	0
.26....9.5.9.6...2......5.32...15..4...7...3.31...8.......741..........6.9.....8.	5.37	6.56	0	1
9....4..864..3..2...5.6.3...7.....8.5.....7.3.9.....5...1.5.9...6..9..17...4.2...	4.60	4.41	0	0
..2..1.7.7.54........3...5..2...3..7...6.41...3...54....7.9...58.....2.94........	6.00	5.17	0	0
..3.....784...7...1..6.......51.9.....253..74...7..2..........1.61..478.3.....5..	6.29	7.96	1	0
....6.......8.2...6.837...4.4.....2.......7.5..27.58...8..13.....4......51...82.6	9.57	5.62	0	0
...4.1.....5...9...815.24....26.7...8.......43...8...21.43..8.7.68...25..........	27.77	13.06	1	0
..6..52...3...2.818..1..9....7.....4.....7...9...3.5.87.4.96....1........6.3.....	16.30	7.14	1	0
....5.1.....2.1...29.....58.5.7.4.6.....8.....2.6...9.37......4...3.6.....8.1.9..	10.53	5.16	0	1
13.8.4.622..1.5..7.........6.2...3.1..83.97....3...6...9..8..7..46.1.98..........	3.97	4.62	0	0
.8.....536...8.......176...3....4.1..........56.3.2..9...691...9.......8.2.....75	4.78	3.18	0	0
..594..6.1...58......1....2.5....2.792.....86..1....3.4....6......87...1....957..	13.84	9.83	1	1
...25.9..........3...8...5.3.5.6..1.6..4.....4....32.887...21....398.........7...	5.53	4.69	0	0
..9..82........3..6..97...4..5...43..........4.8....2998.7....5...5.1.....2..61..	10.50	8.11	1	1
..3.1.9...4.3.7.....6....75.9.72.1..1............58.2.95....2.......5..6..7.9.4..	9.30	7.73	1	0
7....3.......2.5...3.984...3.7...9...5....61...4...3.....871.9...8.3....6..5....4	5.72	4.26	0	0
.5...143.3.....9.817..4....4...1......16.95..........9.......769.......5.362.....	4.39	4.25	0	0
3.8.45..1.....7.9..1......6..79..1.....7..2...6..3....6.....4....2.1....8....35..	7.10	6.19	0	0
8...9.53.2.....6......5.8.4..57....6.34.......6.5.2..7.8.......4.2.8.......16.4..	6.59	5.38	0	0
.16....8....7...5.4.7...2.1..25.61......3......34.95..2.4.....8.7...8.3...1...4..	14.80	8.06	1	0
..5.6.7...........6...32.8...9.7....3.26.5..4....2.5..81.35...7......8....7.1.4..	16.78	13.61	1	0
....2..3.7563......9...6.........9...34...5.767......35..8.71...6..4....4.1.6...5	8.04	5.92	1	0
....8..92...5..7..1.2..6..8.7..4....2..3.....8.4...32..2...5.3.3....81..4.8.....9	5.42	6.38	0	0
.8..........1..24.5....7.137..314.6...9........2....719...8.6.....5..43.2...6....	13.55	6.41	1	1
8..7.2..55.4...2.8.......7...91.47.36..3....1..............8.....52.14...26...9..	10.95	6.98	1	0
..........5.3.2.1...7.9.3.........8928.....765..1.9..24.....2.8.........392....4.	9.13	4.72	0	0
....3....4.8....31...51.9....3..2.1..........65....2.9..5.79...91....6......8....	6.94	4.86	0	0
..61....5...43...1.3...9...7..2......9.....1....6.8..2...5...3.3...41...9....2.8.	4.19	5.27	0	0
.......4539.......2.17....3..6...1......4.8....98.3...1...64.........62.7....1..9	6.09	4.24	0	0
.4.9.5.8...58.49....7...6..7.4.1.2.8.........8.3.5.7.4..6...4....82.65...3.4.1.7.	4.38	4.14	0	0
.8..6.1.7...8...9....3.7...9...2..5..2..8.7........3.6.7.9.1.3.....3..8.5.2......	4.05	4.27	0	0
..........5.1.924.9.......1.9.....3...7...8..1..2..5.6.8..6..7.2.......5..14.36..	14.24	5.46	0	0
.9.7...1.2.8...5.........32..4697..............345.9...8.....5.7.2...1.3.5.2.6.8.	11.09	5.76	0	0
..9.613......2.....4.....5.4....8...8.5.........5.7.4...17...9..6..527..9.....8..	7.69	7.61	0	0
..5....6........3.29...57...38..4....6.......5..231.......53..9....7......49..152	10.06	5.09	0	0
......6......572.82...6...9..5.2.31....3.1....2....8......4...6392.8......8......	16.98	6.86	1	1
1....4.7.5.......4..8....3..6.1...92..534.....1...7....23.6.9.......576.....3...8	40.25	6.00	0	1
...5.13.9..7.4.....5.7....65......3......8...3...2.89.2.6..9.8......36....1......	11.04	5.57	1	0
...1..38.19..68...2..3......3....6.7.2.....1.4.6....3......9..5.8..3..71.52..7...	5.95	4.31	0	0
1..3.......84.29...39....1.4.35.16.225.....91....2.....4.....5....8.4...3.1...7..	6.83	4.78	1	0
..5..248....9..2.1........5.4...7.1....8.5...5..1....668.......9..47...8.23....5.	7.67	6.12	0	0
7.9..5..8...2.....8..3...96....4.95..7............63......69.4.3..5..8...8....67.	5.94	5.73	0	0
...2....879.86....2....1....521..6....8...1.......674....6....3....39.169....5...	3.51	4.52	0	0
2..8....5.7.......53....62..6...8......3.7....1.5.6.3..5....3.44.......88..1.3..9	4.01	3.14	0	0
3..8......489.......9..726....2..1.5.........2.7.84....326..8........63...1..8..7	4.75	4.99	0	0
.51..26.....8.1.....3..92..6...35..2......3.64....6..5..67...533.2........81....4	3.36	4.49	0	0
.73.2.6...516...7....7....9..85..93..6....8.5..798.....35............1..4....9.2.	9.28	8.43	1	0
.2..86.49..8..7..1.........34...2...7.......6...9.3.1..5..........8..4..4..57..68	11.44	5.21	0	0
2..6.3.1.......9.6.....1.8.5......3......862.8.3.7.4...9..67.5...413.....2.......	16.30	10.95	1	0
..41.96.....6.3..96.2...8..1....25.4..7...1.84..8.6...8.12....39.5..1......5..2.7	3.00	2.63	0	0
.59.......4..2...7.....793..956...8..81.....22..........3.7.26........91..6.5....	4.97	5.76	0	0
7.....9.4.8...1.....9.2..7.5.39.........4...5.4...7..3...1.43....6....1..28.6....	4.80	5.88	0	0
83.......7.69.2.......6.....4.3.......2.....5.53.1.9.84....7..1........2....5874.	24.07	12.55	1	0
....752.....1.9....76..8...4......3129...............26...3.4..3....1.588.1......	6.32	5.34	0	0
...381...1.......9..4...7.....4.6....9.....2...57.38..61.....72.....9...9......86	37.89	8.67	1	0
.352..79....4.8...8...9...66.4...2...........2.8...3.79...4.........3....1.5.694.	5.65	5.47	0	0
.34...95.....2......9.756....36.....8.......5...7.9.....14982......3.....86...4..	4.84	3.94	0	0
3..1.5.............5.934.12...8......41...69..7........93..8.7.4.7...8.....6..5..	7.06	4.13	0	0
..6..53..8...3.6....31.659.56.....4.9.......3.3.....61.856.21....2.7...6..49..7..	3.79	3.36	0	0
.....8....7.....4...36.17..26......8.3..4..1...5..3......9.4...9.7...1.2..1...3..	33.58	36.40	1	0
....7....53.....71.61...83..8.564......7......7.9.1.5...6.5.3..49.....26....9....	6.01	3.60	0	0
..7..8.91....9...8..1.7.46..4968....53...4......7........8.5..6.8.14...24........	8.37	6.97	1	0
..7.8...5.....9...9..76...1..3..4..75.6....48.8.6..5.3.....1..6....4....8.5.3.2..	5.59	5.09	0	0
.8...9....7..8.564.3.1.....5...6.3...9.4.3.8...8.9...5.......7.469.3..1..........	12.96	5.00	0	0
2...89...........116...74...79.........3.4.........68...26...789..8.......4.2...3	5.01	5.22	0	0
...1....7..49..65..8.....1...1...5..2....73...4...8..63....9......75...9..2....68	6.52	4.59	0	0
....1.6...3..4.......79.24.9.38.....1.5...........24..3.7.51.....2...1.6.......53	4.61	4.94	0	0
...7..3.2..1......23.....9....1.5....4....51.6...38....6......3....267.8..4.....5	8.07	6.21	0	1
53.....21..........78.1.56..4....98...29.53....7.8.6..4.9...7.3...8.........9....	4.92	5.06	0	0
..39....8.....83...2...3.7....8..1...512.4.3...2..5....9..1..4...57.....6....97..	20.04	9.90	1	0
...425...73418..9.5..............961.9.21853....6.....158......42..3.759......6..	4.60	2.96	0	0
2..9..1....9..3..2.1.....8.5..1.26....3..7..464.......3.....8.1..5.........36..9.	35.57	11.36	1	0
...8.2.3.....65...49......5.....96.8.......27..768...35.4.7...2..8........1..3.7.	10.25	4.10	0	0
..........3.2.5.8.....7......7...8.61..8.6..2..2.5.1..2..7.1..4..6...9...95.3..2.	5.12	3.51	0	0
..7.5.....5.....1..917.4.8....83.....7.....9....2.6....39...27..4..1..3...8.6.4..	5.60	4.68	0	0
...7..4...............41.983....496...7...3...926..7.567.18.............1.5..3..6	7.64	7.87	0	0
26.8..1....7.52.....37....6.1...7..9..54....8.8..9..4.7..9.....421....6..........	5.16	5.33	0	0
..41..6..9...5...2..56..8.7...5......1.....3....7.9...5.6..89..3...2...4......2..	7.64	7.24	0	0
.69..7.....7.596..5..3......51.....79.8..51.67..1..94......8..1..2...4.....4..59.	8.05	5.64	1	0
.1....4.....386.7.......6.5....1...8.9....53.2.8........75...4.1.5.6.......9.3...	14.76	6.11	1	0
.9...3..7.1...8.2...8.564.....5..7...7...96.26...8...9.4.3.........2....9.5.7....	8.64	7.02	1	1
1....58938..7...4.........23148..6...6....2....7......7.124.3..4...9.5.......1...	13.03	5.86	0	0
5...39...138........485.....5.....9..87....24.....8..59......32.....2..8...6.7...	9.75	13.70	1	0
....4.1.5..2..6.9....9.3...1.9....3..6...8..4.....92...8.5.......4.6...27.......3	23.16	15.15	1	0
.9....48.8...92.....1...2...1..3......6..859.....5..3...5.7.3.46..1......42....5.	6.90	5.59	0	0
9..8...25..4..3.......5..7..3....2.6.76...49.4.........4..61......3..6.82.......1	9.90	6.31	1	0
7....3...6.2..1.83.4.6.8..9.7.8...9.......6.5...3........1..9.6..6.7..4.92.....71	13.97	12.73	1	0
3.1..2.....5.6.1...7..3.6.2.93.........8..59.........38..7......34........2.4..58	21.13	11.55	1	0
9.34..7.......1.6.8...7.3..1....4.3...8..2....7.86....6.5.....7.4.9....2......4..	15.06	12.64	1	0
....85..2..31...9.15........4..2..5.7..5.1...8...749.1.....6.8..9.3..7..4....2...	15.84	12.52	1	0
.3..4.271...1....4....7.85...........4.72....5..3..182....58.3...7.....84...9....	7.35	7.60	0	0
2..7.4.......5.96....398...9.2.8..1..512....74....5..9.3....7.....8....3....4..5.	11.34	6.76	1	0
9.6.....4....9.......84..36......5.9.41...86.7.........72.59.......6....5....72.3	17.57	9.30	1	0
.45....9.2.....1561......47.....76.1...6.3......59.....7.9....5.13.......247..8..	4.26	3.79	0	0
7...1...9...4...1...85..7...9.....6.2.......4.1.6.8.3..5.......83.....46..4...9..	8.71	8.52	1	0
.6.5...9.....12...5.493........2.7.3.......84...3.49..6.7.8..4..35.......1....5.8	11.85	9.99	1	0
.52........75..16........35..3....4....6.1.......8.7..69.1...2.3....84........97.	14.79	10.12	1	0
...7..1841.2.5.9...........3614......4...8.3..........9..6327...5.17...3.........	4.87	4.22	0	0
67......93.....472.....18.....91.......4...5...26....1.61..5....8..3....79...6...	26.60	19.17	1	0
..7..4.....138...5........61......6.623...89..7......321..7....4....69.....59.2..	8.43	7.86	0	0
..912...5.....6.478....51..2...9....7..6...3..14...2.9..5..9..3.6..5....34...79..	6.36	3.61	0	0
..65.....5....423....8..4...4.6...1..7.....5..2...9.7...9..8.4..549....8.....27..	3.42	5.88	0	1
.5..2.....28...3..1...9...6.315..8............451.87..4...5.....13...29..8..3..5.	7.13	6.01	0	0
67.....1.1...........54.86.....5.6...23......8.1..47.....69..3...9.7.....4.2.....	14.22	5.14	0	0
...8651.....3.....7....45.28.....25.......4..1.96....75632.....4...........1..8..	12.05	7.41	1	1
5.8..7..673..28......9....38.....34.21...5......4..5..1......2...9.6..84.........	5.27	3.85	0	0
4....2.......1.6...8.6..9..1...9.7...7.8.5.3...3........6..715...7.5....8..2....7	21.11	8.59	1	0
165.9.7..3.......4...2.8.............79.1.3..4.......8.........7..5.4..6.8.7.2.1.	7.29	5.49	0	0
....6..8.7.9....6..1.....97...8...3.5.........4.25...8.7...4...9537.......1..9...	14.73	8.14	1	0
3.75....2.58.6..7........51..419..3....3.2........48..87........2..3..4.6.....2..	10.47	5.84	0	0
.....152...3.........9.4..71.47..2...7.2....32.....1.96.....73..5...8.6...84.....	19.07	8.99	1	0
.24.1.59............7..34....6.9.3...9.6.218.4............2.....1.....6.5.97....2	31.97	12.83	1	0
..4..3..6...978...........524........5.....1..7.6.1.8.3............26..7.6.7....9	13.01	5.64	0	0
...5.9....58.6.14.3.17.45.9.17...92...........35...48.7.48.36.1.83.5.27....4.1...	2.78	1.86	0	0
.2..7.....51...286.8.1...4....93.4..9....8..2...56.....1.....6.64....7......8..3.	12.48	5.94	1	0
6..2.8..4..........59...87..4.....6...5...9...826.954.........3.14...62....9.1.5.	5.36	4.45	0	0
6...2..943..........1689.........72.1.....5.6.83...1.....3.6........2..192......3	4.43	4.72	0	0
..9.7......6...451.2.....7.5.19....2....84...9....1..6.....6...142...6......2.9..	6.96	5.96	1	0
...4.27......6....8......246.....3...7...5.9.5...7...19..6...3..38.5.2....2..1...	6.82	7.48	0	1
.2.6...8.54.....26....8.......179.....9...5.....4......8.247.1.23........5...3.9.	5.07	4.79	1	0
.238....7...2..8...6...9.......715..71.....46..596.......1...8...2..3...3....817.	7.30	4.65	0	0
8.......9...4......3..97..6..47.2.1.......6...7.9.82..1...8..9...3..5...5.....1.3	4.81	5.08	0	0
.86.1.49.7...5...2.....9...8.7...2.4......1..1.2...5.6...3.1...3...6.....4..7.8..	7.83	5.98	0	0
...5.6.7...9.....871.......2.8...3.......41.56...9...4...25..8.3.....4......83...	7.52	6.81	1	1
.98...2.....976..16............17.4...2...795..6.......3.2...1918............95..	4.04	4.12	0	0
...326....43....2......4.5...9..7..81...6...95..8.92.1.7........5....16....145...	4.52	4.67	0	0
..5.3.78...68.9...........351.....42..8...3..26......84.......5..71.42...32.6....	9.16	9.59	1	0
.....9...43..7.......32.7...6......13..18..7.8.....92...5.6.....9....34.78.5.....	16.29	6.97	1	0
....832.5.1.6.......3......58.1.23...6.....2....7...6...4...7.........4.1.735....	8.03	6.65	0	1
...7..9.3..49.3....2.1.6...318...........1.3..97.3..5.6.......1....14..58.....62.	13.15	7.83	1	1
6.....49395.1...2.2..............53....6.8....31.2.........3..2.6...5..8175......	8.60	5.80	0	0
....5..37..2...9.11..3...585...2.....8.....2.....1...324...8.....9...7.463..9....	6.59	5.38	0	0
....47.5.2.........1.9...78........41.4.3.2.75........76...4.8....5......8..1...5	8.06	7.32	0	0
.6..4..9.2...8.6........85........4.14....9.5.....7.....9.5..7.8.3...2.1.1..3....	6.78	4.99	0	0
..215.....3.4...9..9......16..54..177....8...9...6...58.........17....5....9..3..	6.29	4.94	0	0
..2...6..9....12.8...86....8.......4.651.4.7.4............23...5.17....6..86..3..	12.52	7.77	1	0
3.......4.46....1.21...7..8.3...9.7...........9.4.8.3.7..5.4.81.2....9..........5	15.03	10.60	1	0
.3...81......9..45...1.4.6....38....6.......4..9.7....39.6.1...18..3...........5.	9.01	8.30	1	0
4.2..........6.5...1...9.46..37.4...6...3..7...5.8...2.....28.7.4.1..........8.9.	22.51	10.98	1	0
.6.8......8..7..46..9.4.....2......9.13...62.7......8.....5.3..8..49..5......3.1.	26.37	7.32	1	0
.....146....4.38.5......2..59.....2..4...8.7..86....4...4......3.15.6....5.7.9...	10.54	6.23	1	0
...1.6....38..465..........6.34.89.2..2...4....49....7........1..17.983....8.3...	5.14	5.49	0	0
..5...6..9.....2.4.6...5.1..56...3.....3.41...4.7...6...3..84...2.....3.1.......9	5.48	7.06	0	1
.38.4....1.....34..9...1......795.8..5....2......1...7.1....7354..62.8.........2.	10.42	5.74	0	0
....19....9.6..1...36.5..282.....8....72.......3....4272..8.35...8..3.9....79....	11.27	7.42	1	0
.1..8..4.8.3...5.1..5.1.3..7.46.51.3....4....3.19.84.2..9.6.2..5.7...8.9.3..5..1.	4.08	3.98	0	0
..48.2......3..7..2...6..3.412..6.....9.81...5..74.....2.....719.1...5.8......26.	16.20	11.08	1	0
.4..8..6.15...74..........7.6..4.32....96......2.....521..3......5...83...8..1...	14.56	10.46	1	0
..5...2.......93...867..5.9.4..1.........6.....1.2..7.7....3986...9.....5.......3	7.52	5.19	0	0
8.2.3.1.....7.6...6....4..8.7.....924.....3.5.91...4..7...4.......5.......321....	6.91	5.18	0	0
.5.2.9.1..42.1.67..........8.......779...4.53...9.6...5..7.3..8..........7.....4.	13.18	10.89	1	0
.5.2....12...63.8....84.5..1.3.......74.......2....1.6..7..2.1..9...53..4....7...	9.93	7.30	1	0
6.........8..4.....7..12..51..9....49.5.3....4..6..27.........6..6..3.8.......12.	6.76	5.69	0	0
..8.........8.1.4..7.2..5...541.3..............35...2..217.948..3.4...5...5...1..	5.52	7.11	0	0
14.....83...4.1......7.9......5.....5..3.2..7.1....26..........2..1.5..48.7...6.2	7.81	4.49	0	0
.........93.....76.67...52.5.......8...1......7.3.6....2.....3...86.29...4.7.9.5.	10.87	5.88	1	0
2...1.3......3.946..7..5..1.......6.75..9...3..9..27..5....8....4.6.......3.....7	22.23	6.07	1	0
.1.6..48.6.......3...3..19...5.....9...4.7...4...9.7...31......5.......2.4..82.5.	15.93	9.21	1	0
49......6.8....3.....94......78.......56.4.91.6..9...5.......54....2.8..7...859..	12.41	9.81	1	0
67.2.3.8.....6.5..3.....4........2....283...1..75....4.....26...6.3.7..55.8.9....	5.70	5.65	1	0
